,doc_id,sentence,word_number
0,T890102.141,63530,3
1,T890102.141,63531,11
2,T890102.141,63532,24
3,T890102.141,63533,11
4,T890102.141,63534,27
5,T890102.141,63535,21
6,T890102.141,63536,27
7,T890102.141,63537,31
8,T890102.141,63538,12
9,T890102.141,63539,17
10,T890102.141,63540,18
11,T890102.141,63541,21
12,T890102.141,63542,28
13,T890102.141,63543,14
14,T890102.141,63544,10
15,T890102.141,63545,16
16,T890102.141,63546,11
17,T890102.141,63547,8
18,T890102.141,63548,19
19,T890102.141,63549,49
20,T890102.141,63550,20
21,T890102.141,63551,19
22,T890102.141,63552,47
23,T890102.141,63553,47
24,T890102.141,63554,24
25,T890102.141,63555,30
26,T890102.141,63556,12
27,T890102.141,63557,29
28,T890102.141,63558,10
29,T890102.141,63559,27
30,T890102.141,63560,40
31,T890102.141,63561,21
32,T890102.141,63562,16
33,T890102.141,63563,7
34,T890102.141,63564,26
35,T890102.141,63565,22
36,T890102.141,63566,11
37,T890102.141,63567,14
38,T890102.141,63568,34
39,T890102.141,63569,13
40,T890102.141,63570,38
41,T890102.141,63571,14
42,T890102.141,63572,17
43,T890102.141,63573,15
44,T890102.141,63574,19
45,T890102.141,63575,13
46,T890102.141,63576,23
47,T890102.141,63577,11
48,T890102.141,63578,26
49,T890102.141,63579,24
50,T890102.141,63580,24
51,T890102.141,63581,19
52,T890102.141,63582,28
53,T890102.141,63583,19
54,T890102.141,63584,22
55,T890102.141,63585,14
56,T890102.141,63586,12
57,T890102.141,63587,21
58,T890102.141,63588,36
59,T890102.141,63589,14
60,T890102.141,63590,10
61,T890102.141,63591,22
62,T890102.141,63592,17
63,T890102.141,63593,8
64,T890102.141,63594,26
65,T890102.141,63595,23
66,T890102.141,63596,25
67,T890102.141,63597,53
68,T890102.141,63598,33
69,T890102.141,63599,27
70,T890102.154,63600,4
71,T890102.154,63601,21
72,T890102.154,63602,13
73,T890102.154,63603,32
74,T890102.154,63604,8
75,T890102.154,63605,11
76,T890102.154,63606,6
77,T890102.154,63607,16
78,T890102.154,63608,20
79,T890102.154,63609,8
80,T890102.154,63610,7
81,T890102.154,63611,7
82,T890102.154,63612,24
83,T890102.154,63613,13
84,T890102.154,63614,22
85,T890102.154,63615,14
86,T890102.154,63616,32
87,T890102.154,63617,31
88,T890102.154,63618,7
89,T890102.154,63619,14
90,T890102.154,63620,18
91,T890102.154,63621,21
92,T890102.154,63622,25
93,T890102.154,63623,4
94,T890102.154,63624,3
95,T890102.38,63329,6
96,T890102.38,63330,32
97,T890102.38,63331,34
98,T890102.38,63332,32
99,T890102.38,63333,52
100,T890102.38,63334,17
101,T890102.38,63335,47
102,T890102.38,63336,34
103,T890102.38,63337,19
104,T890102.38,63338,23
105,T890102.38,63339,23
106,T890102.38,63340,32
107,T890102.38,63341,11
108,T890102.38,63342,35
109,T890102.38,63343,17
110,T890102.38,63344,3
111,T890102.38,63345,48
112,T890102.38,63346,16
113,T890102.38,63347,32
114,T890102.38,63348,12
115,T890102.38,63349,28
116,T890102.38,63350,34
117,T890102.38,63351,5
118,T890102.50,63352,6
119,T890102.50,63353,14
120,T890102.50,63354,18
121,T890102.50,63355,11
122,T890102.50,63356,13
123,T890102.50,63357,14
124,T890102.50,63358,21
125,T890102.50,63359,20
126,T890102.50,63360,18
127,T890102.50,63361,53
128,T890102.50,63362,28
129,T890102.50,63363,11
130,T890102.50,63364,4
131,T890102.50,63365,23
132,T890102.50,63366,24
133,T890102.50,63367,25
134,T890102.50,63368,22
135,T890102.50,63369,35
136,T890102.50,63370,30
137,T890102.50,63371,31
138,T890102.50,63372,70
139,T890102.50,63373,11
140,T890102.50,63374,38
141,T890102.50,63375,7
142,T890102.50,63376,21
143,T890102.50,63377,35
144,T890102.50,63378,24
145,T890102.50,63379,28
146,T890102.50,63380,13
147,T890102.50,63381,33
148,T890102.50,63382,37
149,T890102.50,63383,14
150,T890102.50,63384,4
151,T890102.50,63385,23
152,T890102.50,63386,25
153,T890102.50,63387,10
154,T890102.50,63388,34
155,T890102.50,63389,36
156,T890102.50,63390,43
157,T890102.50,63391,15
158,T890102.50,63392,28
159,T890102.50,63393,18
160,T890102.50,63394,4
161,T890102.50,63395,40
162,T890102.50,63396,26
163,T890102.50,63397,23
164,T890102.50,63398,28
165,T890102.50,63399,32
166,T890102.50,63400,27
167,T890102.50,63401,34
168,T890102.50,63402,19
169,T890102.50,63403,30
170,T890102.50,63404,13
171,T890102.50,63405,11
172,T890102.50,63406,22
173,T890102.50,63407,23
174,T890102.50,63408,5
175,T890102.50,63409,45
176,T890102.50,63410,7
177,T890102.50,63411,21
178,T890102.50,63412,23
179,T890102.50,63413,24
180,T890102.50,63414,5
181,T890102.50,63415,20
182,T890102.50,63416,16
183,T890102.50,63417,26
184,T890102.50,63418,15
185,T890102.50,63419,17
186,T890102.50,63420,29
187,T890102.50,63421,5
188,T890102.50,63422,28
189,T890102.50,63423,20
190,T890102.50,63424,52
191,T890102.50,63425,35
192,T890102.50,63426,10
193,T890102.50,63427,23
194,T890102.50,63428,18
195,T890102.50,63429,25
196,T890102.50,63430,29
197,T890102.50,63431,13
198,T890102.50,63432,37
199,T890102.82,63433,4
200,T890102.82,63434,11
201,T890102.82,63435,4
202,T890102.82,63436,7
203,T890102.82,63437,42
204,T890102.82,63438,10
205,T890102.82,63439,44
206,T890102.82,63440,31
207,T890102.82,63441,47
208,T890102.82,63442,32
209,T890102.82,63443,36
210,T890102.82,63444,32
211,T890102.82,63445,66
212,T890102.82,63446,24
213,T890102.82,63447,21
214,T890102.82,63448,24
215,T890102.82,63449,31
216,T890102.82,63450,12
217,T890102.82,63451,35
218,T890102.82,63452,19
219,T890102.82,63453,33
220,T890102.82,63454,10
221,T890102.82,63455,36
222,T890102.82,63456,4
223,T890102.82,63457,36
224,T890102.82,63458,6
225,T890102.82,63459,22
226,T890102.82,63460,16
227,T890102.82,63461,11
228,T890102.82,63462,14
229,T890102.82,63463,26
230,T890102.82,63464,6
231,T890102.82,63465,31
232,T890102.82,63466,6
233,T890102.82,63467,11
234,T890102.82,63468,21
235,T890102.82,63469,11
236,T890102.84,63470,6
237,T890102.84,63471,18
238,T890102.84,63472,3
239,T890102.84,63473,43
240,T890102.84,63474,9
241,T890102.84,63475,31
242,T890102.84,63476,84
243,T890102.84,63477,19
244,T890102.84,63478,23
245,T890102.84,63479,43
246,T890102.84,63480,47
247,T890102.84,63481,31
248,T890102.84,63482,47
249,T890102.84,63483,22
250,T890102.84,63484,7
251,T890102.84,63485,55
252,T890102.84,63486,17
253,T890102.84,63487,26
254,T890102.84,63488,22
255,T890102.84,63489,13
256,T890102.84,63490,11
257,T890102.84,63491,11
258,T890102.84,63492,26
259,T890102.84,63493,14
260,T890102.84,63494,21
261,T890102.84,63495,27
262,T890102.84,63496,30
263,T890102.84,63497,29
264,T890102.84,63498,37
265,T890102.84,63499,6
266,T890102.84,63500,27
267,T890102.84,63501,25
268,T890102.84,63502,29
269,T890102.84,63503,38
270,T890102.84,63504,32
271,T890102.84,63505,45
272,T890102.84,63506,24
273,T890102.84,63507,16
274,T890102.84,63508,46
275,T890102.84,63509,4
276,T890102.84,63510,9
277,T890102.84,63511,14
278,T890102.84,63512,20
279,T890102.84,63513,14
280,T890102.84,63514,14
281,T890102.84,63515,13
282,T890102.84,63516,20
283,T890102.84,63517,18
284,T890102.84,63518,17
285,T890102.84,63519,10
286,T890102.84,63520,7
287,T890102.84,63521,51
288,T890102.84,63522,30
289,T890102.84,63523,18
290,T890102.84,63524,11
291,T890102.84,63525,11
292,T890102.84,63526,4
293,T890102.84,63527,16
294,T890102.84,63528,29
295,T890102.84,63529,8
296,T890103.208,63625,5
297,T890103.208,63626,16
298,T890103.208,63627,11
299,T890103.208,63628,10
300,T890103.208,63629,37
301,T890103.208,63630,24
302,T890103.208,63631,48
303,T890103.208,63632,14
304,T890103.208,63633,28
305,T890103.208,63634,17
306,T890103.208,63635,44
307,T890103.208,63636,25
308,T890103.208,63637,23
309,T890103.208,63638,30
310,T890103.208,63639,20
311,T890103.208,63640,18
312,T890103.208,63641,17
313,T890103.208,63642,11
314,T890103.208,63643,18
315,T890103.208,63644,16
316,T890103.208,63645,39
317,T890103.208,63646,43
318,T890103.208,63647,30
319,T890103.208,63648,34
320,T890103.208,63649,12
321,T890103.208,63650,24
322,T890103.208,63651,29
323,T890103.208,63652,10
324,T890103.208,63653,32
325,T890103.208,63654,36
326,T890103.208,63655,2
327,T890103.246,63656,4
328,T890103.246,63657,7
329,T890103.246,63658,22
330,T890103.246,63659,23
331,T890103.246,63660,78
332,T890103.246,63661,35
333,T890103.246,63662,54
334,T890103.246,63663,43
335,T890103.246,63664,24
336,T890103.246,63665,19
337,T890103.246,63666,13
338,T890103.246,63667,44
339,T890103.246,63668,20
340,T890103.246,63669,51
341,T890103.246,63670,12
342,T890103.246,63671,81
343,T890103.246,63672,12
344,T890103.246,63673,47
345,T890103.246,63674,19
346,T890103.246,63675,14
347,T890103.246,63676,13
348,T890103.246,63677,31
349,T890103.246,63678,12
350,T890103.246,63679,39
351,T890103.246,63680,38
352,T890103.246,63681,35
353,T890103.246,63682,10
354,T890103.246,63683,39
355,T890103.246,63684,59
356,T890103.246,63685,18
357,T890103.246,63686,38
358,T890103.246,63687,14
359,T890103.246,63688,21
360,T890103.246,63689,6
361,T890103.246,63690,7
362,T890103.246,63691,16
363,T890103.246,63692,4
364,T890103.246,63693,29
365,T890103.246,63694,40
366,T890103.246,63695,30
367,T890103.246,63696,19
368,T890103.246,63697,18
369,T890103.246,63698,14
370,T890103.246,63699,8
371,T890103.246,63700,20
372,T890103.246,63701,29
373,T890103.246,63702,15
374,T890103.246,63703,5
375,T890103.246,63704,51
376,T890103.246,63705,43
377,T890103.246,63706,23
378,T890103.246,63707,16
379,T890103.246,63708,17
380,T890103.246,63709,2
381,T890103.246,63710,12
382,T890103.246,63711,18
383,T890103.246,63712,12
384,T890104.37,63713,3
385,T890104.37,63714,25
386,T890104.37,63715,4
387,T890104.37,63716,33
388,T890104.37,63717,46
389,T890104.37,63718,25
390,T890104.37,63719,88
391,T890104.37,63720,50
392,T890104.37,63721,18
393,T890104.37,63722,41
394,T890104.37,63723,38
395,T890104.37,63724,28
396,T890104.37,63725,21
397,T890104.37,63726,23
398,T890104.37,63727,31
399,T890104.37,63728,10
400,T890104.37,63729,39
401,T890104.37,63730,50
402,T890104.37,63731,10
403,T890104.37,63732,28
404,T890104.37,63733,26
405,T890104.37,63734,41
406,T890104.86,63735,5
407,T890104.86,63736,39
408,T890104.86,63737,24
409,T890104.86,63738,22
410,T890104.86,63739,54
411,T890104.86,63740,58
